espn_team,espn_abbreviation,pfr_team,pfr_abbreviation
Dallas Cowboys,DAL,Dallas Cowboys,DAL
Indianapolis Colts,IND,Indianapolis Colts,IND
Buffalo Bills,BUF,Buffalo Bills,BUF
Detroit Lions,DET,Detroit Lions,DET
Kansas City Chiefs,KC,Kansas City Chiefs,KAN
Chicago Bears,CHI,Chicago Bears,CHI
Seattle Seahawks,SEA,Seattle Seahawks,SEA
New England Patriots,NE,New England Patriots,NWE
Los Angeles Rams,LAR,Los Angeles Rams,LAR
San Francisco 49ers,SF,San Francisco 49ers,SFO
New York Giants,NYG,New York Giants,NYG
Los Angeles Chargers,LAC,Los Angeles Chargers,LAC
Green Bay Packers,GB,Green Bay Packers,GNB
Denver Broncos,DEN,Denver Broncos,DEN
Arizona Cardinals,ARI,Arizona Cardinals,ARI
Jacksonville Jaguars,JAX,Jacksonville Jaguars,JAX
Washington Commanders,WSH,Washington Commanders,WAS
Atlanta Falcons,ATL,Atlanta Falcons,ATL
Houston Texans,HOU,Houston Texans,HOU
Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TAM
Baltimore Ravens,BAL,Baltimore Ravens,BAL
Carolina Panthers,CAR,Carolina Panthers,CAR
Cincinnati Bengals,CIN,Cincinnati Bengals,CIN
Philadelphia Eagles,PHI,Philadelphia Eagles,PHI
Miami Dolphins,MIA,Miami Dolphins,MIA
New Orleans Saints,NO,New Orleans Saints,NOR
Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT
Minnesota Vikings,MIN,Minnesota Vikings,MIN
New York Jets,NYJ,New York Jets,NYJ
Las Vegas Raiders,LV,Las Vegas Raiders,LVR
Cleveland Browns,CLE,Cleveland Browns,CLE
Tennessee Titans,TEN,Tennessee Titans,TEN
